treat,volunteer,takeuprate,date
0,0,.0040161,0
1,0,.4541833,0
0,1,.0018868,0
1,1,.2694497,0
0,0,.0040323,2
1,0,.5515873,2
0,1,.0019608,2
1,1,.3707224,2
0,0,0,7
1,0,.4658635,7
0,1,.0019305,7
1,1,.3257143,7
0,0,0,9
1,0,.6294821,9
0,1,.0153257,9
1,1,.4173077,9
0,0,0,14
1,0,.572,14
0,1,.0039841,14
1,1,.4145873,14
0,0,0,23
1,0,.6294821,23
0,1,.0022676,23
1,1,.4522901,23
0,0,0,28
1,0,.5101215,28
0,1,.0059406,28
1,1,.3868472,28
0,0,0,30
1,0,.628,30
0,1,.004158,30
1,1,.4836223,30
0,0,0,35
1,0,.4939759,35
0,1,.0039216,35
1,1,.3288462,35
0,0,0,37
1,0,.5502008,37
0,1,.0040568,37
1,1,.3847656,37
0,0,0,42
1,0,.5241935,42
0,1,.0039063,42
1,1,.344358,42
0,0,0,44
1,0,.5870445,44
0,1,.0019763,44
1,1,.3696498,44
0,0,0,49
1,0,.5322581,49
0,1,.0077369,49
1,1,.3430799,49
0,0,.0092593,51
1,0,.612,51
0,1,.0020325,51
1,1,.4394531,51
0,0,.008658,56
1,0,.5403226,56
0,1,.0078585,56
1,1,.3599222,56
0,0,.0137615,58
1,0,.58,58
0,1,.0060484,58
1,1,.4082031,58
0,0,.0044248,63
1,0,.5263158,63
0,1,.0039063,63
1,1,.3521401,63
0,0,.004717,65
1,0,.5951417,65
0,1,.006135,65
1,1,.3925781,65
0,0,.0044643,70
1,0,.5282258,70
0,1,.0019646,70
1,1,.3554688,70
0,0,.0097561,72
1,0,.6504065,72
0,1,.0065359,72
1,1,.453125,72
0,0,0,77
1,0,.5117188,77
0,1,.0057692,77
1,1,.3653484,77
0,0,0,79
1,0,.6220472,79
0,1,.0038835,79
1,1,.4421252,79
0,0,.004,84
1,0,.5529412,84
0,1,.0019493,84
1,1,.3473282,84
0,0,0,86
1,0,.6445313,86
0,1,.0020243,86
1,1,.442344,86
0,0,.0042735,91
1,0,.5642023,91
0,1,.0059055,91
1,1,.4419048,91
0,0,.0045045,93
1,0,.6381323,93
0,1,.0041494,93
1,1,.5132076,93
0,0,.0043103,98
1,0,.5953307,98
0,1,0,98
1,1,.4543726,98
0,0,.0045249,100
1,0,.7773109,100
0,1,.0021552,100
1,1,.5769231,100
0,0,0,105
1,0,.6640316,105
0,1,.0044643,105
1,1,.4657795,105
0,0,0,107
1,0,.8267717,107
0,1,.003096,107
1,1,.7223301,107
